Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Thyara De Deco Souza;949865;Nº Da Autorização/Licença Sisbio: 46031, Projeto: Uso Da Medetomidina Na Coleta De Sêmen De Onça Pintada (Panthera Onca).;24/07/2015;25/07/2015 a 26/07/2015;17/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;3;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Nex;Brasil;GO;Corumba De Goias;Espécie não Sensível;-15.924167;-48.808889;Coordenada aproximada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Thyara De Deco Souza;949868;Nº Da Autorização/Licença Sisbio: 46031, Projeto: Uso Da Medetomidina Na Coleta De Sêmen De Onça Pintada (Panthera Onca).;15/11/2015;16/11/2015 a 15/01/2016;17/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;2;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Fazenda Barranco Alto;Brasil;MS;Aquidauana;Espécie não Sensível;-19.577222;-56.153333;Coordenada aproximada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Thyara De Deco Souza;949869;Nº Da Autorização/Licença Sisbio: 46031, Projeto: Uso Da Medetomidina Na Coleta De Sêmen De Onça Pintada (Panthera Onca).;13/09/2015;14/09/2015 a 08/12/2015;17/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;2;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Estação Ecológica De Taiamã;Brasil;MT;Sem Informações;Espécie não Sensível;-16.842778;-57.584167;Coordenada aproximada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Thyara De Deco Souza;949870;Nº Da Autorização/Licença Sisbio: 46031, Projeto: Uso Da Medetomidina Na Coleta De Sêmen De Onça Pintada (Panthera Onca).;13/09/2015;14/09/2015 a 07/12/2015;17/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Da Capivara;Brasil;PI;Sem Informações;Espécie não Sensível;-8.7675;-42.560556;Coordenada aproximada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Tarcízio Antônio Rego De Paula;953451;Nº Da Autorização/Licença Sisbio: 34732, Projeto: Desenvolvimento E Padronização De Protocolos De Criopreservação De Sêmen E Avaliação Da Sua Capacidade Fertilizante Utilizando Ensaio De Ligação Do Espermatozóide À Membrana Perivitelina Do Ovo De Galinha;04/12/2015;05/12/2015 a 20/12/2015;29/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;2;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Estação Ecológica De Taiamã;Brasil;MT;Sem Informações;Espécie não Sensível;-16.843056;-57.584442;Coordenada de referência da área amostrada;Sem Informações;Depositado em banco de amostras biológicas
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Tarcízio Antônio Rego De Paula;953452;Nº Da Autorização/Licença Sisbio: 34732, Projeto: Desenvolvimento E Padronização De Protocolos De Criopreservação De Sêmen E Avaliação Da Sua Capacidade Fertilizante Utilizando Ensaio De Ligação Do Espermatozóide À Membrana Perivitelina Do Ovo De Galinha;06/09/2015;07/09/2015 a 01/10/2015;29/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Da Capivara;Brasil;PI;Sem Informações;Espécie não Sensível;-8.7675;-42.560556;Coordenada de referência da área amostrada;Sem Informações;Depositado em banco de amostras biológicas
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Tarcízio Antônio Rego De Paula;954846;Nº Da Autorização/Licença Sisbio: 34732, Projeto: Desenvolvimento E Padronização De Protocolos De Criopreservação De Sêmen E Avaliação Da Sua Capacidade Fertilizante Utilizando Ensaio De Ligação Do Espermatozóide À Membrana Perivitelina Do Ovo De Galinha;09/08/2015;10/08/2015 a 20/08/2015;29/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;2;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Fazenda Barranco Alto;Brasil;MS;Aquidauana;Espécie não Sensível;-19.575642;-56.155586;Coordenada aproximada;Sem Informações;Depositado em banco de amostras biológicas
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Tarcízio Antônio Rego De Paula;954870;Nº Da Autorização/Licença Sisbio: 34732, Projeto: Desenvolvimento E Padronização De Protocolos De Criopreservação De Sêmen E Avaliação Da Sua Capacidade Fertilizante Utilizando Ensaio De Ligação Do Espermatozóide À Membrana Perivitelina Do Ovo De Galinha;13/07/2015;14/07/2015 a 14/07/2015;29/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;2;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Associação Mata Ciliar;Brasil;SP;Jundiai;Espécie não Sensível;-23.177267;-46.942314;Coordenada aproximada;Sem Informações;Depositado em banco de amostras biológicas
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Tarcízio Antônio Rego De Paula;954874;Nº Da Autorização/Licença Sisbio: 34732, Projeto: Desenvolvimento E Padronização De Protocolos De Criopreservação De Sêmen E Avaliação Da Sua Capacidade Fertilizante Utilizando Ensaio De Ligação Do Espermatozóide À Membrana Perivitelina Do Ovo De Galinha;14/07/2015;15/07/2015 a 15/07/2015;29/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Parque Ecológico Armando Muller;Brasil;SP;Paulinia;Espécie não Sensível;-22.764044;-47.153444;Coordenada aproximada;Sem Informações;Depositado em banco de amostras biológicas
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Tarcízio Antônio Rego De Paula;954876;Nº Da Autorização/Licença Sisbio: 34732, Projeto: Desenvolvimento E Padronização De Protocolos De Criopreservação De Sêmen E Avaliação Da Sua Capacidade Fertilizante Utilizando Ensaio De Ligação Do Espermatozóide À Membrana Perivitelina Do Ovo De Galinha;16/07/2015;17/07/2015 a 17/07/2015;29/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;3;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Organização Não Governamental Nex;Brasil;GO;Corumba De Goias;Espécie não Sensível;-15.858894;-48.475628;Coordenada aproximada;Sem Informações;Depositado em banco de amostras biológicas
